city_ascii,GEOprob,BIOprob,x,y,bio_x,bio_y
Helsingborg,0.22265758926051257,0.15558203720651603,1413757.533074574,7568475.3530532,0.23295587147877495,-0.4936798708224637
Bollnas,0.2397050455061069,0.1697159515227526,1821921.57801719,8707099.381687079,1.0757893140491994,-0.6455231176088994
Trollhattan,0.16802024516266656,0.13957367355829878,1369229.736757265,8023637.455975416,0.4669525342025498,-0.6942751351220133
Sundsvall,0.25998084167891294,0.17798938834405015,1927686.22621988,8954642.413402969,1.2674641254035217,-0.6670652091112079
Norrkoping,0.23363706112969426,0.1867803010115226,1801004.6456971362,8093446.4682299765,0.7201975439916337,-0.4296052486378701
Vannersborg,0.16336779523502648,0.13916631796494475,1372569.3214810628,8043962.22433921,0.48004172921168564,-0.6996437084523079
Boras,0.20164412642779336,0.14844671627929235,1438247.8210490956,7910894.957176478,0.4377292568254747,-0.6055281266882555
Kristianstad,0.22601818548874467,0.169950921094041,1573311.759228574,7565127.300018266,0.3101416951498468,-0.38495224564051767
Borlange,0.20675457588508522,0.1609696444890452,1716179.193712659,8508134.386959314,0.9114543488118967,-0.642173870119942
Mariestad,0.1790662197739248,0.15179771859476543,1539325.918689388,8116897.417397302,0.6037118743476215,-0.6146569066319554
Visby,0.260426235038395,0.2343984685310992,2037146.681516907,7890759.79544973,0.7231945197794438,-0.19457415215846852
Ljubljana,0.18385328829575998,0.13469390898665481,1615802.4088643643,5789215.516888113,-0.6678859020237544,0.3093093561931606
Maribor,0.1531483223576034,0.14809888842058908,1742150.0309147306,5867391.859751132,-0.561292454349851,0.3651129653344771
Zilina,0.15339778557839706,0.22076400200275006,2087173.6606794032,6312239.484098357,-0.14005073875769458,0.4307782362238699
Bratislava,0.11251000035664448,0.18200432872042832,1905455.7239084637,6131845.868039043,-0.3315886624814759,0.3759909275406541
Trnava,0.11886711034136481,0.19153778108119046,1959223.0379616148,6168062.162486567,-0.2845691090254565,0.39863311932812207
Presov,0.22663004668864206,0.2732786399676707,2364359.192754654,6274810.4904366415,-0.023744157488610362,0.6315141849747528
Kosice,0.22340311078397998,0.2700326693999354,2365539.179357064,6229239.111125873,-0.04879673943085372,0.6493898979364809
Banska Bystrica,0.15976208000479655,0.22329223979782015,2131768.2486911896,6229728.550755986,-0.16436988785313922,0.49174275396850975
Zvolen,0.15812169505203952,0.22123191706765935,2129898.081245864,6204516.950431947,-0.1794801042023373,0.4999327634111277
San Marino,0.23924924366741018,0.10889025773922452,1387786.6958725029,5452637.62078951,-0.970232792145977,0.28187715329958407
Isparta,0.2643900518215358,0.2940379610305879,3398584.053918643,4546985.28443041,-0.4832514923679083,1.9757656313223586
Edirne,0.16076931784455326,0.27919394334023606,2957758.870377279,5111734.118693615,-0.3839948029151179,1.4671570200850652
